[1696849147028874200, 2, ((0.13, 0.13), (0.13, 0.13)), '-58077,242,-64220,3472']
[1696849147062878700, 2, ((0.13, 0.13), (0.13, 0.13)), '-58952,25,-64464,2665']
[1696849147096902900, 2, ((0.13, 0.13), (0.13, 0.13)), '-58383,187,-64462,2970']
[1696849147130901700, 2, ((0.13, 0.13), (0.13, 0.13)), '-59484,266,-65643,1337']
[1696849147163907500, 2, ((0.13, 0.13), (0.13, 0.13)), '-61343,-82,-67698,-1825']
[1696849147197927400, 2, ((0.13, 0.13), (0.13, 0.13)), '-62265,463,-68683,1955']
[1696849147231179500, 2, ((0.13, 0.13), (0.13, 0.13)), '-62595,163,-68534,2073']
[1696849147264230700, 2, ((0.13, 0.13), (0.13, 0.13)), '-74980,-114,-68728,988']
[1696849147296736100, 2, ((0.13, 0.13), (0.13, 0.13)), '-74980,-109,-70714,474']
[1696849147330734000, 2, ((0.13, 0.13), (0.13, 0.13)), '863183,104,-72218,2754']
[1696849147364737900, 2, ((0.13, 0.13), (0.13, 0.13)), '863183,-211,-72917,1119']
[1696849147397788000, 3, ((0.12, 0.12), (0.12, 0.12)), '-65750,474,-72596,3341']
[1696849147430788800, 3, ((0.12, 0.12), (0.12, 0.12)), '-66374,334,-73181,1616']
[1696849147464790200, 3, ((0.12, 0.12), (0.12, 0.12)), '-68170,382,-74929,2237']
[1696849147497823100, 3, ((0.12, 0.12), (0.12, 0.12)), '-69778,-227,-76455,512']
[1696849147530826300, 3, ((0.12, 0.12), (0.12, 0.12)), '-69749,-105,-76216,-1325']
[1696849147564825600, 3, ((0.12, 0.12), (0.12, 0.12)), '-69731,46,-76081,2220']
[1696849147598856600, 3, ((0.12, 0.12), (0.12, 0.12)), '-70182,226,-76980,2802']
[1696849147631856100, 3, ((0.12, 0.12), (0.12, 0.12)), '-72310,385,-79265,2487']
[1696849147665856500, 3, ((0.12, 0.12), (0.12, 0.12)), '-72890,869,-80006,1085']
[1696849147703944700, 3, ((0.12, 0.12), (0.12, 0.12)), '-72749,-58,-79421,531']
[1696849147731947500, 3, ((0.12, 0.12), (0.12, 0.12)), '-72538,-225,-79443,2863']
[1696849147764994400, 3, ((0.12, 0.12), (0.12, 0.12)), '-73575,-320,-80830,456']
[1696849147798037600, 3, ((0.12, 0.12), (0.12, 0.12)), '-74508,366,-81941,1651']
[1696849147832039400, 3, ((0.12, 0.12), (0.12, 0.12)), '-75188,-216,-82532,1547']
[1696849147866042000, 3, ((0.12, 0.12), (0.12, 0.12)), '-74858,-119,-81809,176']
[1696849147899111300, 3, ((0.12, 0.12), (0.12, 0.12)), '-74189,314,-81830,1430']
[1696849147933111500, 3, ((0.12, 0.12), (0.12, 0.12)), '-76140,-170,-82976,1905']
[1696849147967116100, 3, ((0.12, 0.12), (0.12, 0.12)), '-77298,656,-84584,-461']
[1696849148000191900, 3, ((0.12, 0.12), (0.12, 0.12)), '-77706,154,-84769,2772']
[1696849148033192000, 3, ((0.12, 0.12), (0.12, 0.12)), '-76942,26,-84014,541']
[1696849148067194000, 3, ((0.12, 0.12), (0.12, 0.12)), '-77031,272,-84121,728']
[1696849148100236500, 3, ((0.12, 0.12), (0.12, 0.12)), '-78124,349,-85434,1279']
[1696849148134236900, 3, ((0.12, 0.12), (0.12, 0.12)), '-79391,165,-86979,-102']
[1696849148167239200, 3, ((0.12, 0.12), (0.12, 0.12)), '-79805,-292,-87125,-104']
[1696849148200278800, 3, ((0.12, 0.12), (0.12, 0.12)), '-78963,-268,-86580,-1035']
[1696849148234363100, 3, ((0.12, 0.12), (0.12, 0.12)), '-79543,57,-86657,2511']
[1696849148267367400, 3, ((0.12, 0.12), (0.12, 0.12)), '-80903,-209,-88473,1544']
[1696849148300405600, 3, ((0.12, 0.12), (0.12, 0.12)), '-81910,158,-89832,2354']
[1696849148334405500, 3, ((0.12, 0.12), (0.12, 0.12)), '-82005,306,-89723,1698']
[1696849148367412800, 4, ((0.13, 0.13), (0.13, 0.13)), '-81938,-517,-88919,1937']
[1696849148400473900, 4, ((0.13, 0.13), (0.13, 0.13)), '-81398,-76,-89336,3367']
[1696849148433476100, 4, ((0.13, 0.13), (0.13, 0.13)), '-82807,352,-90518,2683']
[1696849148467480000, 4, ((0.13, 0.13), (0.13, 0.13)), '-84108,-132,-91936,2692']
[1696849148501503600, 4, ((0.13, 0.13), (0.13, 0.13)), '-84212,262,-92079,1440']
[1696849148534504700, 4, ((0.13, 0.13), (0.13, 0.13)), '-83554,81,-91156,2109']
[1696849148567506600, 4, ((0.13, 0.13), (0.13, 0.13)), '-84012,-446,-91675,2259']
[1696849148600527000, 4, ((0.13, 0.13), (0.13, 0.13)), '-84012,-33,-93083,1363']
[1696849148634526400, 4, ((0.13, 0.13), (0.13, 0.13)), '864585,-48,-94260,1738']
[1696849148667530400, 4, ((0.13, 0.13), (0.13, 0.13)), '864585,189,-94294,89']
[1696849148702682400, 4, ((0.13, 0.13), (0.13, 0.13)), '-85881,-58,-93606,1083']
[1696849148734683100, 4, ((0.13, 0.13), (0.13, 0.13)), '-85854,678,-94093,612']
[1696849148767685900, 4, ((0.13, 0.13), (0.13, 0.13)), '-88285,-443,-96140,-269']
[1696849148802743900, 4, ((0.13, 0.13), (0.13, 0.13)), '-88812,-49,-97043,36']
[1696849148835742300, 4, ((0.13, 0.13), (0.13, 0.13)), '-88958,185,-96844,-1956']
[1696849148868745700, 4, ((0.13, 0.13), (0.13, 0.13)), '-88670,-92,-96659,2704']
[1696849148901851200, 4, ((0.13, 0.13), (0.13, 0.13)), '-89601,323,-97605,972']
[1696849148934851000, 4, ((0.13, 0.13), (0.13, 0.13)), '-91335,37,-99465,-13']
[1696849148968853400, 4, ((0.13, 0.13), (0.13, 0.13)), '-92541,69,-100020,-1157']
