Sample,Value
21.6,0.3412407246812057
21.7,0.3399691581941684
21.8,0.339154628576699
21.9,0.3407058409341175
22.0,0.3422422265723973
22.1,0.3457415924584923
22.2,0.3433757380043709
22.3,0.3419382517931198
22.4,0.3420025955386558
22.5,0.3444391991216533
22.6,0.3427181394135108
22.7,0.3428811893104236
22.8,0.3478167178206152
22.9,0.345069967707212
23.0,0.3504077372215154
23.1,0.3464179300896572
23.2,0.3473347033303976
23.3,0.3485478368556205
23.4,0.3489711403996322
23.5,0.3481736271940793
23.6,0.3490160766568472
23.7,0.3486355041521887
23.8,0.3514470115954842
23.9,0.3527680464494243
24.0,0.3503919338892057
24.1,0.3548060801774472
24.2,0.3506986985027889
24.3,0.3581343575692338
24.4,0.3523017107609365
24.5,0.3517261625572379
24.6,0.3536518320305113
