frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correlation_force_0_2,correlation_force_1_3
204,0.2,0.2,0.03,0.0,0.0,0.04,0.015,0.02,0.01450695,0.0176
205,0.24,0.24,0.04,0.0,1.87,0.05,0.9550000000000001,0.025,0.9236091500000001,0.022000000000000002
206,0.3,0.3,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
207,0.34,0.34,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
208,0.4,0.4,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
209,0.44,0.44,0.04,0.01,0.0,0.04,0.02,0.025,0.0193426,0.022000000000000002
210,0.5,0.5,0.02,0.01,0.0,0.04,0.01,0.025,0.0096713,0.022000000000000002
211,0.54,0.54,0.02,0.01,0.0,0.05,0.01,0.030000000000000002,0.0096713,0.026400000000000003
212,0.6,0.6,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
213,0.64,0.64,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
214,0.7,0.7,0.02,0.02,0.01,0.04,0.015,0.03,0.01450695,0.0264
215,0.74,0.74,0.02,0.02,0.01,0.04,0.015,0.03,0.01450695,0.0264
216,0.8,0.8,0.02,0.01,0.01,0.04,0.015,0.025,0.01450695,0.022000000000000002
217,0.84,0.84,0.01,0.01,0.01,0.03,0.01,0.02,0.0096713,0.0176
218,0.9,0.9,0.01,0.02,0.02,0.04,0.015,0.03,0.01450695,0.0264
219,0.94,0.94,0.0,0.02,0.02,0.03,0.01,0.025,0.0096713,0.022000000000000002
220,1.0,1.0,0.0,0.02,0.03,0.02,0.015,0.02,0.01450695,0.0176
221,0.96,0.96,0.01,0.03,0.03,0.04,0.02,0.035,0.0193426,0.030800000000000004
222,0.9,0.9,0.01,0.03,0.04,0.04,0.025,0.035,0.024178250000000002,0.030800000000000004
223,0.86,0.86,0.0,0.02,0.02,0.03,0.01,0.025,0.0096713,0.022000000000000002
224,0.8,0.8,0.01,0.02,0.02,0.04,0.015,0.03,0.01450695,0.0264
225,0.76,0.76,0.01,0.02,0.01,0.04,0.01,0.03,0.0096713,0.0264
226,0.7,0.7,0.02,0.01,0.01,0.04,0.015,0.025,0.01450695,0.022000000000000002
227,0.66,0.66,0.02,0.01,0.01,0.04,0.015,0.025,0.01450695,0.022000000000000002
228,0.6,0.6,0.02,0.01,0.0,0.04,0.01,0.025,0.0096713,0.022000000000000002
229,0.56,0.56,0.03,0.01,0.0,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
230,0.5,0.5,0.02,0.01,0.0,0.05,0.01,0.030000000000000002,0.0096713,0.026400000000000003
231,0.46,0.46,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
232,0.4,0.4,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
233,0.36,0.36,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
234,0.3,0.3,0.04,0.01,0.0,0.04,0.02,0.025,0.0193426,0.022000000000000002
235,0.26,0.26,6.17,0.01,0.0,0.05,3.085,0.030000000000000002,2.98359605,0.026400000000000003
236,0.2,0.2,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
237,0.16,0.16,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
238,0.1,0.1,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
239,0.06,0.06,0.04,0.0,0.0,0.04,0.02,0.02,0.0193426,0.0176
240,0.0,0.0,0.04,0.0,0.01,0.05,0.025,0.025,0.024178250000000002,0.022000000000000002
241,0.04,0.1,0.04,0.01,0.01,0.05,0.025,0.030000000000000002,0.024178250000000002,0.026400000000000003
242,0.1,0.2,0.05,0.0,0.0,0.05,0.025,0.025,0.024178250000000002,0.022000000000000002
243,0.14,0.3,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
244,0.2,0.4,0.04,0.01,0.0,0.04,0.02,0.025,0.0193426,0.022000000000000002
245,0.24,0.5,0.04,0.01,0.0,0.05,0.02,0.030000000000000002,0.0193426,0.026400000000000003
246,0.3,0.6,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
247,0.34,0.7,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
248,0.4,0.8,0.03,0.02,0.0,0.05,0.015,0.035,0.01450695,0.030800000000000004
249,0.44,0.9,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
250,0.5,1.0,0.02,0.02,0.0,0.03,0.01,0.025,0.0096713,0.022000000000000002
251,0.54,1.1,0.02,0.02,0.0,0.04,0.01,0.03,0.0096713,0.0264
252,0.6,1.2,0.02,0.02,0.0,0.04,0.01,0.03,0.0096713,0.0264
253,0.64,1.3,0.02,0.03,0.01,0.03,0.015,0.03,0.01450695,0.0264
254,0.7,1.4,0.01,0.03,0.01,14.7,0.01,7.364999999999999,0.0096713,6.481199999999999
255,0.74,1.5,0.01,0.04,0.02,0.01,0.015,0.025,0.01450695,0.022000000000000002
256,0.8,1.6,0.0,0.06,0.03,0.0,0.015,0.03,0.01450695,0.0264
257,0.84,1.7,0.01,0.08,0.04,0.03,0.025,0.055,0.024178250000000002,0.0484
258,0.9,1.8,0.02,0.11,0.05,0.06,0.035,0.08499999999999999,0.033849550000000006,0.07479999999999999
259,0.94,1.9,0.04,0.17,0.07,0.13,0.05500000000000001,0.15000000000000002,0.05319215000000001,0.13200000000000003
260,1.0,2.0,0.07,0.24,0.09,0.21,0.08,0.22499999999999998,0.0773704,0.19799999999999998
261,0.96,1.9,0.11,0.38,0.14,0.36,0.125,0.37,0.12089125,0.3256
262,0.9,1.8,0.14,0.41,0.14,0.28,0.14,0.345,0.13539820000000002,0.3036
263,0.86,1.7,0.07,0.22,0.08,0.12,0.07500000000000001,0.16999999999999998,0.07253475000000001,0.14959999999999998
264,0.8,1.6,0.03,0.13,0.04,0.05,0.035,0.09,0.033849550000000006,0.07919999999999999
265,0.76,1.5,0.01,0.09,0.03,0.01,0.02,0.049999999999999996,0.0193426,0.044
266,0.7,1.4,0.0,0.06,0.02,0.01,0.01,0.034999999999999996,0.0096713,0.030799999999999998
267,0.66,1.3,0.01,0.05,0.01,0.02,0.01,0.035,0.0096713,0.030800000000000004
268,0.6,1.2,0.02,0.04,0.01,0.03,0.015,0.035,0.01450695,0.030800000000000004
269,0.56,1.1,0.02,0.03,0.0,0.03,0.01,0.03,0.0096713,0.0264
270,0.5,1.0,0.02,0.03,0.0,0.04,0.01,0.035,0.0096713,0.030800000000000004
271,0.46,0.9,0.02,0.03,0.0,0.04,0.01,0.035,0.0096713,0.030800000000000004
272,0.4,0.8,0.03,0.03,0.0,0.04,0.015,0.035,0.01450695,0.030800000000000004
273,0.36,0.7,0.03,0.02,0.0,0.04,0.015,0.03,0.01450695,0.0264
