frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
22,4.5,4.5,1.9240775851868606,-201.75,1.9934688187820984,-212.6206896551724,1.9587732019844795,-207.18534482758622,1.9587732019844795,-0.004054904488258856
23,4.26,4.26,0.8986036362365791,-217.07692307692307,0.9282460992907802,-763.7333333333333,0.9134248677636796,-490.4051282051282,0.9134248677636796,-0.00959790837078243
24,4.0,4.0,0.3003611525784873,-190.78571428571428,0.34827738376674544,-101.86206896551724,0.32431926817261636,-146.32389162561577,0.32431926817261636,-0.0028637614566125015
25,3.76,3.76,-0.08792640712710587,-215.8846153846154,-0.0617886524822695,-77.6,-0.07485752980468768,-146.7423076923077,-0.07485752980468768,-0.0028719504392270808
26,3.5,3.5,-0.3414583576596869,-158.25,-0.3173279530447542,-435.13793103448273,-0.3293931553522206,-296.6939655172414,-0.3293931553522206,-0.00580671231073963
27,3.26,3.26,-0.5331874854288109,-223.73333333333332,-0.5096106382978723,-362.6666666666667,-0.5213990618633416,-293.2,-0.5213990618633416,-0.005738330560720227
28,3.0,3.0,-0.664875895878226,-231.06666666666666,-0.6386477541371158,-377.34615384615387,-0.6517618250076709,-304.20641025641027,-0.6517618250076709,-0.00595374127128702
29,2.76,2.76,-0.7367138905202486,-160.17241379310346,-0.7152888707037643,-774.5666666666667,-0.7260013806120065,-467.3695402298851,-0.7260013806120065,-0.009147069972206382
30,2.5,2.5,-0.734892242080917,-320.07142857142856,-0.7135458547322083,-320.8965517241379,-0.7242190484065627,-320.48399014778323,-0.7242190484065627,-0.006272316080786442
31,2.26,2.26,-0.7361959509788323,-97.24137931034483,-0.711404255319149,-133.03333333333333,-0.7238001031489907,-115.13735632183908,-0.7238001031489907,-0.002253397716446601
32,2.0,2.0,-0.7322860181843929,-194.32142857142858,-0.7115292553191489,-58.2,-0.7219076367517709,-126.2607142857143,-0.7219076367517709,-0.0024710972558120033
33,1.76,1.76,-0.7346886522507315,-165.93103448275863,-0.71012105649303,17.551724137931036,-0.7224048543718808,-74.1896551724138,-0.7224048543718808,-0.0014519944255291866
34,1.5,1.5,-0.7330329530254346,-219.53333333333333,-0.7097297872340426,191.93103448275863,-0.7213813701297386,-13.801149425287349,-0.7213813701297386,-0.0002701076313785566
35,1.26,1.26,-0.7323331260993694,-173.5,-0.7114794832826749,-481.93333333333334,-0.7219063046910221,-327.7166666666667,-0.7219063046910221,-0.0064138695893270715
36,1.0,1.0,-0.7320866653123639,-182.63333333333333,-0.7094964539007093,-229.23333333333332,-0.7207915596065366,-205.93333333333334,-0.7207915596065366,-0.004030400887236194
37,0.76,0.76,-0.7327652193884651,-267.2142857142857,-0.7090987841945289,-216.24137931034483,-0.720932001791497,-241.72783251231527,-0.720932001791497,-0.004730948869993449
38,0.5,0.5,-0.7328369688855031,-183.20689655172413,-0.7091122523844461,178.9,-0.7209746106349746,-2.1534482758620612,-0.7209746106349746,-4.2145968800510054e-05
